id,type,start,end,quantity,minimum,priority,relief_hours,tolerance_hours,demand_hours,supplied_hours,gap_hours,minimum_rate,qualified_rate,below_hours,longest_below_hours
FLEET/DAILY/DUTY/15,DUTY,344.0,352.0,15,13,2,0.5,0.25,120.0,119.19887317611351,0.8011268238864995,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/45,PEAK,346.0,350.0,4,3,1,0.5,0.25,16.0,15.82494948265354,0.17505051734645805,0.9978710919082106,0.99,0.008515632367157765,0.008515632367157765
FLEET/DAILY/DUTY/16,DUTY,368.0,376.0,15,13,2,0.5,0.25,120.0,119.16331538948154,0.8366846105184442,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/46,PEAK,370.0,374.0,4,3,1,0.5,0.25,16.0,15.74672442771555,0.2532755722844473,0.996615315725215,0.99,0.013538737099140122,0.009686595258651778
FLEET/DAILY/DUTY/17,DUTY,392.0,400.0,15,13,2,0.5,0.25,120.0,119.20776319286489,0.7922368071351081,0.9990068328419066,0.99,0.007945337264746968,0.007945337264746968
FLEET/DAILY/PEAK/47,PEAK,394.0,398.0,4,3,1,0.5,0.25,16.0,15.65359171639374,0.3464082836062613,0.99,0.99,0.04,0.04
FLEET/DAILY/DUTY/18,DUTY,416.0,424.0,15,13,2,0.5,0.25,120.0,119.2418742127551,0.7581257872449123,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/48,PEAK,418.0,422.0,4,3,1,0.5,0.25,16.0,15.749295335243948,0.25070466475605147,0.9803809895665548,0.98,0.07847604173378045,0.07847604173378045
FLEET/DAILY/DUTY/19,DUTY,440.0,448.0,15,13,2,0.5,0.25,120.0,119.17177600410109,0.8282239958989248,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/49,PEAK,442.0,446.0,4,3,1,0.5,0.25,16.0,15.679775426959498,0.32022457304050195,0.989398928521076,0.98,0.042404285915695825,0.042404285915695825
FLEET/DAILY/DUTY/20,DUTY,464.0,472.0,15,13,2,0.5,0.25,120.0,119.52152098310634,0.47847901689364164,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/50,PEAK,466.0,470.0,4,3,1,0.5,0.25,16.0,15.839555636159016,0.16044436384098446,0.9988091235842298,0.99,0.0047635056630809915,0.0047635056630809915
FLEET/DAILY/DUTY/21,DUTY,488.0,496.0,15,13,2,0.5,0.25,120.0,119.18821751378458,0.8117824862154037,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/51,PEAK,490.0,494.0,4,3,1,0.5,0.25,16.0,15.714220500178465,0.2857794998215354,0.9996062085299158,1.0,0.0015751658803367264,0.0015751658803367264
FLEET/DAILY/DUTY/22,DUTY,512.0,520.0,15,13,2,0.5,0.25,120.0,119.35249535898468,0.6475046410153129,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/52,PEAK,514.0,518.0,4,3,1,0.5,0.25,16.0,15.901251077308187,0.09874892269181373,0.9991443381381572,0.99,0.0034226474473712186,0.0034226474473712186
FLEET/DAILY/DUTY/23,DUTY,536.0,544.0,15,13,2,0.5,0.25,120.0,119.14461683654753,0.8553831634524761,0.9992516443911361,0.99,0.005986844870910772,0.005986844870910772
FLEET/DAILY/PEAK/53,PEAK,538.0,542.0,4,3,1,0.5,0.25,16.0,15.857987589372142,0.1420124106278581,1.0,1.0,0.0,0.0
FLEET/DAILY/DUTY/24,DUTY,560.0,568.0,15,13,2,0.5,0.25,120.0,119.2592338226202,0.7407661773797816,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/54,PEAK,562.0,566.0,4,3,1,0.5,0.25,16.0,15.809380266443787,0.19061973355621262,0.9981832574532703,0.99,0.0072669701869187975,0.0072669701869187975
FLEET/DAILY/DUTY/25,DUTY,584.0,592.0,15,13,2,0.5,0.25,120.0,119.17472053370894,0.825279466291072,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/55,PEAK,586.0,590.0,4,3,1,0.5,0.25,16.0,15.735996451959895,0.2640035480401048,0.9978052474061425,0.99,0.008779010375429835,0.008779010375429835
FLEET/DAILY/DUTY/26,DUTY,608.0,616.0,15,13,2,0.5,0.25,120.0,119.18499156475653,0.8150084352434783,0.9994976435124198,0.99,0.004018851900641493,0.004018851900641493
FLEET/DAILY/PEAK/56,PEAK,610.0,614.0,4,3,1,0.5,0.25,16.0,15.800145945519148,0.1998540544808509,0.9927556910066199,0.99,0.02897723597352069,0.02897723597352069
FLEET/DAILY/DUTY/27,DUTY,632.0,640.0,15,13,2,0.5,0.25,120.0,119.36621563928549,0.6337843607145055,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/57,PEAK,634.0,638.0,4,3,1,0.5,0.25,16.0,15.763037451246177,0.2369625487538224,0.990783588036808,0.98,0.036865647852768,0.036865647852768
FLEET/DAILY/DUTY/28,DUTY,656.0,664.0,15,13,2,0.5,0.25,120.0,119.15705412493148,0.8429458750685183,1.0,1.0,0.0,0.0
FLEET/DAILY/PEAK/58,PEAK,658.0,662.0,4,3,1,0.5,0.25,16.0,15.824881925065888,0.17511807493411197,1.0,1.0,0.0,0.0
FLEET/DAILY/DUTY/29,DUTY,680.0,688.0,15,13,2,0.5,0.25,120.0,119.18594940631057,0.8140505936894215,0.9998221575198499,1.0,0.0014227398412003823,0.0014227398412003823
FLEET/DAILY/PEAK/59,PEAK,682.0,686.0,4,3,1,0.5,0.25,16.0,15.870355839108566,0.12964416089143468,0.9986680488401669,0.99,0.005327804639332499,0.005327804639332499
FLEET/DAILY/DUTY/30,DUTY,704.0,712.0,15,13,2,0.5,0.25,120.0,119.18182220574751,0.8181777942525048,0.9998339442872711,1.0,0.0013284457018312424,0.0013284457018312424
FLEET/DAILY/PEAK/60,PEAK,706.0,710.0,4,3,1,0.5,0.25,16.0,15.864994710681783,0.1350052893182169,0.9985342351062159,0.99,0.005863059575136731,0.005863059575136731
